Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
BadAss 3530-700 ,4.00,700.00,12.00,10.00,14.80,8952.00,57.77,854.90,421.10,5.68,84.80,0.66,2.40
BadAss 3530-700 ,4.00,700.00,13.00,10.00,14.80,8959.00,57.07,844.60,426.24,7.57,84.80,0.90,2.40
Tempest 4130-690Kv ,4.00,690.00,12.00,10.00,14.80,8957.00,56.75,839.90,428.62,5.73,84.80,0.68,2.54
Tempest 4120-700Kv ,5.00,700.00,11.00,8.00,18.50,11191.00,56.38,1043.00,345.16,6.54,84.80,0.63,2.32
BadAss 3520-650Kv ,6.00,650.00,10.00,7.00,22.20,12798.00,46.73,1037.50,346.99,7.68,84.80,0.74,2.21
BadAss 3520-790 ,5.00,790.00,9.00,7.00,18.50,12788.00,37.44,692.60,519.78,5.37,84.80,0.77,2.20
BadAss 3530-470 ,6.00,470.00,12.00,10.00,22.20,8949.00,38.08,845.30,425.88,5.82,84.70,0.69,2.39
Tempest 4130-690Kv ,4.00,690.00,13.00,10.00,14.80,8921.00,58.42,864.60,416.38,7.68,84.50,0.89,2.54
BadAss 2826-690 ,6.00,690.00,10.00,7.00,22.20,12725.00,40.95,909.20,395.95,5.95,84.40,0.65,2.10
BadAss 3515-940 ,4.00,940.00,11.00,8.50,14.80,10472.00,67.94,1005.50,358.03,6.07,84.30,0.60,2.11
BadAss 2820-910Kv ,6.00,910.00,10.00,6.00,22.20,14844.00,63.69,1414.00,254.60,7.44,84.30,0.53,2.03
Tempest 4130-460Kv ,5.00,460.00,14.00,12.00,18.50,7416.00,59.07,1092.70,329.46,6.51,84.30,0.60,2.54
BadAss 4530-550Kv ,6.00,550.00,14.00,8.50,22.20,10455.00,96.04,2132.00,168.86,12.61,84.20,0.59,2.86
BadAss 3520-970 ,5.00,970.00,10.00,6.00,18.50,14825.00,72.48,1340.90,268.48,7.33,84.20,0.55,2.19
Tempest 2820-1170Kv ,6.00,1170.00,7.00,4.00,22.20,22229.00,46.18,1025.20,351.15,5.00,84.20,0.49,2.00
BadAss 3530-890 ,6.00,890.00,10.00,5.00,22.20,17761.00,78.36,1739.60,206.94,10.85,84.10,0.62,2.41
BadAss 3520-650Kv ,5.00,650.00,11.00,8.50,18.50,10450.00,48.47,896.80,401.43,6.06,84.10,0.68,2.21
BadAss 4530-550Kv ,5.00,550.00,13.00,10.00,18.50,8875.00,74.27,1373.90,262.03,7.52,84.00,0.55,2.86
BadAss 2826-820Kv ,6.00,820.00,10.00,6.00,22.20,14785.00,59.31,1316.70,273.41,7.39,84.00,0.56,2.09
BadAss 2820-910Kv ,5.00,910.00,10.00,7.00,18.50,12669.00,54.36,1005.70,357.96,6.06,84.00,0.60,2.03
Cobra C-3525/12 ,6.00,650.00,11.00,8.00,22.20,11084.00,45.77,1016.00,354.33,7.73,84.00,0.76,2.26
BadAss 4530-730Kv ,5.00,730.00,11.00,7.00,18.50,12662.00,70.37,1301.80,276.54,9.28,83.90,0.71,2.87
