Motor, Weight (oz), Cells, kV, Propeller, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Minutes), Ah Flight time (Minutes), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Score = (Thrust*Time), Estimated System Weight (oz), Battery Capacity (Wh), Motor Resistance, I Max, P Max, Outside Diameter, Body Length, Total Shaft Length
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x7.5-E, 9.0, 7.5, 7.4, 6830, 18.12, 134.1, 44.742729306487696, 44.746733488455334, 1.3075, 48.5, 0.9750186428038777, 58.50111856823267, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x3.8-SF, 10.0, 3.8, 7.4, 6750, 18.41, 136.2, 44.05286343612335, 44.04186913692617, 1.79875, 24.3, 1.320668135095448, 79.24008810572688, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x4.7-SF, 10.0, 4.7, 7.4, 6550, 19.54, 144.6, 41.49377593360996, 41.494923787656646, 1.816875, 29.2, 1.2564834024896265, 75.3890041493776, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x5-E, 10.0, 5.0, 7.4, 7240, 15.8, 116.9, 51.32591958939264, 51.31713992473485, 1.61625, 34.3, 1.3825919589392643, 82.95551753635586, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x6-E, 10.0, 6.0, 7.4, 6916, 15.91, 117.7, 50.97706032285471, 50.96233883160344, 1.63375, 39.3, 1.3880628717077315, 83.28377230246389, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x7-E, 10.0, 7.0, 7.4, 6610, 17.51, 129.6, 46.2962962962963, 46.30558599719079, 1.635625, 43.8, 1.2620563271604939, 75.72337962962963, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 11x3.8-SF, 11.0, 3.8, 7.4, 6460, 19.78, 146.4, 40.983606557377044, 40.991446451507116, 1.92875, 23.2, 1.3174521857923496, 79.04713114754097, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 11x5.5-E, 11.0, 5.5, 7.4, 6470, 18.22, 134.8, 44.510385756676556, 44.50114219598303, 1.865, 33.7, 1.3835311572700295, 83.01186943620178, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x5-DD, 9.0, 5.0, 7.4, 7970, 11.78, 87.2, 68.80733944954129, 68.82944064607902, 1.37375, 37.7, 1.5754013761467889, 94.52408256880734, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x5x3-DD, 9.0, 5.0, 7.4, 7500, 14.42, 106.7, 56.232427366447986, 56.22821156801739, 1.488125, 35.5, 1.3946813495782568, 83.6808809746954, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x6-DD, 10.0, 6.0, 7.4, 7370, 15.21, 112.6, 53.285968028419184, 53.307745615437916, 1.6225, 41.9, 1.440941385435169, 86.45648312611013, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 10x6x3-DD, 10.0, 6.0, 7.4, 6720, 18.65, 138.0, 43.47826086956522, 43.475110499239186, 1.81875, 38.2, 1.3179347826086956, 79.07608695652175, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x4-E, 7.0, 4.0, 11.1, 12330, 10.57, 117.3, 51.0997442455243, 51.0879848628193, 1.366875, 46.7, 1.1652813299232736, 69.84696291560103, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x4-SF, 7.0, 4.0, 11.1, 12280, 10.87, 120.7, 49.66031483015741, 49.678012879484825, 1.36, 46.5, 1.1267605633802817, 67.53802816901408, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x5-E, 7.0, 5.0, 11.1, 11790, 13.17, 146.2, 40.998632010943915, 41.002277904328025, 1.38, 55.8, 0.9439124487004105, 56.578112175102596, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x5-SF, 7.0, 5.0, 11.1, 11760, 13.36, 148.3, 40.418071476736344, 40.41916167664671, 1.439375, 55.7, 0.9705832771409305, 58.176761631827375, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x6-E, 7.0, 6.0, 11.1, 11640, 13.88, 154.1, 38.89682024659312, 38.90489913544668, 1.48125, 66.1, 0.9612264763140818, 57.61591499026606, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 7x6-SF, 7.0, 6.0, 11.1, 11230, 16.07, 178.4, 33.59865470852018, 33.602986932171746, 1.364375, 63.8, 0.7647841928251121, 45.841164517937216, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 8x4-E, 8.0, 4.0, 11.1, 11410, 15.09, 167.5, 35.78507462686567, 35.785288270377734, 1.8275, 43.2, 1.091044776119403, 65.39722388059701, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 9x4.5-E, 9.0, 4.5, 11.1, 10380, 20.0, 222.0, 27.0, 27.0, 2.385625, 44.2, 1.0746058558558558, 64.41187500000001, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 8x4-DD, 8.0, 4.0, 11.1, 12030, 12.0, 133.2, 45.00000000000001, 45.00000000000001, 1.690625, 45.6, 1.269237987987988, 76.07812500000001, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.9999999999999996, 1350.0, 8x4x3-DD, 8.0, 4.0, 11.1, 11530, 14.53, 161.3, 37.16057036577805, 37.16448726772196, 1.851875, 43.7, 1.1480936143831368, 68.81673124612523, 32.983, 99.9, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
