Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra CM-4008/36 ,5.9999999999999991,400,13,5.5,22.199999999999999,6972,27.940000000000001,620.20000000000005,1160.9158336020637,8.3512500000000003,36.299999999999997,1.346541438245727,2.1675
Cobra CM-3515/34 ,5.9999999999999991,385,16,5.5,22.199999999999999,5861,39.880000000000003,885.39999999999998,813.19177772758076,11.91375,30.5,1.3455782697086063,2.5600000000000001
Cobra C-3525/18 ,5.9999999999999991,430,15,4,22.199999999999999,7860,44.079999999999998,978.39999999999998,735.89533932951758,13.130000000000001,29.800000000000001,1.3419869174161898,2.8149999999999999
Cobra C-4130/20 ,5.9999999999999991,300,20,8,22.199999999999999,5228,74.739999999999995,1659,433.99638336347198,22.248750000000001,39.600000000000001,1.3410940325497287,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,20,8,22.199999999999999,5228,37.369999999999997,829.5,433.99638336347198,11.124375000000001,39.600000000000001,1.3410940325497287,2.5731250000000001
Cobra CM-2814/36 ,5.9999999999999991,470,12,4.5,22.199999999999999,7890,26.780000000000001,594.60000000000002,1210.8980827447024,7.835,33.600000000000001,1.3176925664312142,2.2162500000000001
Cobra C-4130/20 ,5.9999999999999991,300,19,10,22.199999999999999,5317,69.400000000000006,1540.5999999999999,467.35038296767493,20.17625,50.399999999999999,1.3096358561599377,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,19,10,22.199999999999999,5317,34.700000000000003,770.29999999999995,467.35038296767493,10.088125,50.399999999999999,1.3096358561599377,2.5731250000000001
Cobra C-4130/20 ,5.9999999999999991,300,18,10,22.199999999999999,5459,61.240000000000002,1359.8,529.48963082806301,17.641249999999999,51.700000000000003,1.2973415208118841,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,18,10,22.199999999999999,5459,30.620000000000001,679.89999999999998,529.48963082806301,8.8206249999999997,51.700000000000003,1.2973415208118841,2.5731250000000001
Cobra C-4120/22 ,5.9999999999999991,430,15,4,22.199999999999999,8191,50.18,1114,646.31956912028727,14.4275,31,1.2951077199281866,2.9787499999999998
Cobra C-4120/22 ,5.9999999999999991,430,15,4,22.199999999999999,8191,25.09,557,646.31956912028727,7.2137500000000001,31,1.2951077199281866,2.339375
Cobra CM-4510/28 ,5.9999999999999991,420,14,5.5,22.199999999999999,7525,43,954.60000000000002,754.24261470773092,12.2925,39.200000000000003,1.2877121307353865,2.6299999999999999
Cobra C-5330/18 ,5.9999999999999991,250,20,10,22.199999999999999,5006,75,1665.1800000000001,432.38568803372607,21.425000000000001,47.399999999999999,1.2866476897392474,4.5612500000000002
Cobra C-5330/18 ,5.9999999999999991,250,20,10,22.199999999999999,5006,37.5,832.59000000000003,432.38568803372607,10.7125,47.399999999999999,1.2866476897392474,3.1306250000000002
Cobra C-4130/20 ,5.9999999999999991,300,19,8,22.199999999999999,5294,70.560000000000002,1566.5999999999999,459.59402527767139,20.088750000000001,40.100000000000001,1.2823152049023363,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,19,8,22.199999999999999,5294,35.280000000000001,783.29999999999995,459.59402527767139,10.044375,40.100000000000001,1.2823152049023363,2.5731250000000001
Cobra C-4130/20 ,5.9999999999999991,300,16,10,22.199999999999999,5415,58.140000000000001,1290.4000000000001,557.96652200867948,16.5075,51.299999999999997,1.2792544947303162,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,16,10,22.199999999999999,5415,29.07,645.20000000000005,557.96652200867948,8.2537500000000001,51.299999999999997,1.2792544947303162,2.5731250000000001
Cobra CM-4008/36 ,5.9999999999999991,400,14,5.5,22.199999999999999,6601,33.740000000000002,749,961.28170894526033,9.5587499999999999,34.399999999999999,1.2762016021361815,2.1675
Cobra C-5330/18 ,5.9999999999999991,250,20,11,22.199999999999999,4891,75.319999999999993,1672.02,430.61685865001613,21.050000000000001,50.899999999999999,1.25895623258095,4.5612500000000002
Cobra C-5330/18 ,5.9999999999999991,250,20,11,22.199999999999999,4891,37.659999999999997,836.00999999999999,430.61685865001613,10.525,50.899999999999999,1.25895623258095,3.1306250000000002
Cobra C-5330/18 ,5.9999999999999991,250,22,10,22.199999999999999,4834,96.299999999999997,2137.9400000000001,336.77278127543337,26.899999999999999,45.799999999999997,1.2582205300429385,4.5612500000000002
Cobra C-5330/18 ,5.9999999999999991,250,22,10,22.199999999999999,4834,48.149999999999999,1068.97,336.77278127543337,13.449999999999999,45.799999999999997,1.2582205300429385,3.1306250000000002
Cobra CM-3520/20 ,5.9999999999999991,480,12,4.5,22.199999999999999,8780,35.060000000000002,778.39999999999998,924.9743062692703,9.7750000000000004,37.399999999999999,1.255781089414183,2.7312500000000002
Cobra C-5320/22 ,5.9999999999999991,300,20,8,22.199999999999999,5632,90.439999999999998,2007.8,358.60145432812033,25.146249999999998,42.700000000000003,1.2524280306803466,3.8600000000000003
Cobra C-5320/22 ,5.9999999999999991,300,20,8,22.199999999999999,5632,45.219999999999999,1003.9,358.60145432812033,12.573124999999999,42.700000000000003,1.2524280306803466,2.7800000000000002
Cobra C-4130/20 ,5.9999999999999991,300,20,10,22.199999999999999,5021,83.040000000000006,1843.4000000000001,390.58261907345121,23.047499999999999,47.5,1.2502712379299121,3.44625
Cobra C-4130/20 ,5.9999999999999991,300,20,10,22.199999999999999,5021,41.520000000000003,921.70000000000005,390.58261907345121,11.52375,47.5,1.2502712379299121,2.5731250000000001
Cobra CM-2820/24 ,5.9999999999999991,490,11,4.5,22.199999999999999,9247,29.440000000000001,653.60000000000002,1101.5911872705019,8.0462500000000006,39.399999999999999,1.2310664014687882,2.34375
