Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
BadAss 4530-730Kv ,4.00,730.00,14.00,10.00,14.80,9500.00,108.20,1601.40,224.80,4.75,40.23,0.30,1.37
Cobra C-4120/18  Twin,6.00,540.00,12.00,10.00,22.20,9491.00,105.44,2340.60,307.61,6.09,40.19,0.26,1.47
Cobra C-4120/18 ,6.00,540.00,12.00,10.00,22.20,9491.00,52.72,1170.30,307.61,3.05,40.19,0.26,1.12
BadAss 3515-940 ,5.00,940.00,10.00,7.00,18.50,13562.00,67.83,1254.80,286.90,3.11,40.19,0.25,1.02
BadAss 2820-910Kv  Twin,5.00,910.00,9.00,7.50,18.50,12641.00,108.36,2004.60,359.17,4.28,40.14,0.21,1.19
BadAss 4520-540Kv ,6.00,540.00,14.00,10.00,22.20,9484.00,70.40,1563.00,230.33,4.71,40.14,0.30,1.23
BadAss 4520-830Kv ,5.00,830.00,10.00,7.00,18.50,13540.00,64.53,1193.80,301.56,3.02,40.14,0.25,1.23
BadAss 4520-830Kv ,5.00,830.00,10.00,7.00,18.50,13547.00,67.18,1242.80,289.67,3.92,40.14,0.32,1.23
BadAss 3520-790  Twin,4.00,790.00,11.00,10.00,14.80,9475.00,109.92,1626.80,442.59,4.28,40.10,0.26,1.34
Cobra C-4120/16  Twin,5.00,610.00,11.00,10.00,18.50,9465.00,86.54,1601.00,449.72,4.49,40.05,0.28,1.47
Cobra C-4120/16  Twin,6.00,610.00,11.00,8.50,22.20,11126.00,106.10,2355.20,305.71,6.42,40.05,0.27,1.47
Cobra C-4120/16 ,6.00,610.00,11.00,8.50,22.20,11126.00,53.05,1177.60,305.71,3.21,40.05,0.27,1.12
Tempest 4120-600Kv ,6.00,600.00,11.00,8.00,22.20,11822.00,55.49,1231.90,292.23,4.01,40.05,0.33,1.11
Cobra C-3520/18  Twin,6.00,550.00,10.00,10.00,22.20,9439.00,55.72,1236.80,582.15,3.14,39.96,0.25,1.32
Tempest 4120-600Kv  Twin,4.00,600.00,12.00,12.00,14.80,7866.00,91.96,1361.00,529.02,3.83,39.96,0.28,1.45
