Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Cobra C-3525/12  Twin,6.00,650.00,10.00,7.00,22.20,11816.00,65.68,1458.00,493.83,4.73,35.00,0.32,1.40
Cobra C-4120/20  Twin,6.00,480.00,14.00,10.00,22.20,8265.00,84.64,1879.20,383.14,7.33,35.00,0.39,1.47
BadAss 2826-690  Twin,5.00,690.00,11.00,8.00,18.50,10332.00,83.88,1551.80,463.98,5.02,35.00,0.32,1.25
Tempest 2826-1140Kv  Twin,3.00,1140.00,9.00,8.00,11.10,10340.00,86.56,960.80,749.38,3.74,35.00,0.39,1.22
Tempest 4120-830Kv  Twin,4.00,830.00,9.00,7.00,14.80,11816.00,74.78,1106.80,650.52,4.17,35.00,0.38,1.45
Cobra C-4120/20 ,6.00,480.00,14.00,10.00,22.20,8265.00,42.32,939.60,383.14,3.67,35.00,0.39,1.12
Cobra C-3515/14  Twin,5.00,950.00,8.00,6.00,18.50,13759.00,64.76,1197.80,601.10,3.36,34.96,0.28,1.25
Tempest 2814-1700Kv  Twin,4.00,1700.00,7.00,4.00,14.80,20633.00,88.64,1311.80,548.86,3.61,34.96,0.27,1.11
BadAss 3530-890 ,3.00,890.00,14.00,10.00,11.10,8260.00,87.06,966.30,372.56,3.50,34.96,0.36,1.16
BadAss 4530-440Kv ,6.00,440.00,15.00,10.00,22.20,8262.00,85.04,1887.90,190.69,5.09,34.96,0.27,1.37
Cobra CP-2814-1800  Twin,3.00,1800.00,8.00,5.00,11.10,16502.00,98.10,1088.80,661.28,3.30,34.91,0.30,1.13
BadAss 2820-780  Twin,5.00,780.00,10.00,7.00,18.50,11781.00,77.90,1441.20,499.58,4.77,34.91,0.33,1.19
BadAss 2826-820Kv  Twin,4.00,820.00,11.00,8.50,14.80,9706.00,100.48,1487.00,484.20,4.87,34.91,0.33,1.24
BadAss 3515-710  Twin,5.00,710.00,11.00,8.00,18.50,10315.00,91.54,1693.60,425.13,6.02,34.91,0.36,1.26
BadAss 3520-650Kv  Twin,4.00,650.00,13.00,10.00,14.80,8249.00,93.28,1380.60,521.51,5.90,34.91,0.43,1.35
BadAss 3515-710 ,5.00,710.00,11.00,8.00,18.50,10315.00,45.77,846.80,425.13,3.01,34.91,0.36,1.02
Cobra C-3525/10  Twin,6.00,780.00,10.00,6.00,22.20,13722.00,88.76,1970.40,365.41,5.71,34.87,0.29,1.40
Cobra C-4120/12  Twin,4.00,850.00,11.00,8.00,14.80,10297.00,107.82,1595.80,451.18,5.24,34.87,0.33,1.48
BadAss 2826-820Kv  Twin,4.00,820.00,11.00,8.00,14.80,10300.00,77.48,1146.80,627.83,4.64,34.87,0.40,1.24
BadAss 2826-820Kv  Twin,4.00,820.00,12.00,8.50,14.80,9696.00,96.68,1431.00,503.14,5.67,34.87,0.40,1.24
BadAss 3515-1130  Twin,3.00,1130.00,11.00,8.00,11.10,10297.00,101.42,1125.80,639.55,4.62,34.87,0.41,1.27
BadAss 3515-710  Twin,6.00,710.00,9.00,6.00,22.20,13730.00,54.58,1211.80,594.16,4.03,34.87,0.33,1.26
Tempest 2820-970Kv  Twin,4.00,970.00,9.00,7.50,14.80,10976.00,84.50,1250.60,575.72,3.18,34.87,0.25,1.16
Tempest 4120-520Kv  Twin,5.00,520.00,14.00,10.00,18.50,8234.00,95.74,1771.20,406.50,7.24,34.87,0.41,1.45
Tempest 4130-690Kv  Twin,5.00,690.00,10.00,7.00,18.50,11763.00,84.94,1571.20,458.25,5.76,34.87,0.37,1.66
BadAss 3530-630Kv ,4.00,630.00,14.00,10.00,14.80,8239.00,61.72,913.40,394.13,3.57,34.87,0.39,1.16
BadAss 3530-890 ,3.00,890.00,14.00,10.00,11.10,8232.00,87.30,969.10,371.48,3.86,34.87,0.40,1.16
BadAss 4530-550Kv ,6.00,550.00,15.00,8.00,22.20,10299.00,104.24,2314.20,155.56,6.50,34.87,0.28,1.37
Tempest 4120-520Kv ,5.00,520.00,14.00,10.00,18.50,8234.00,47.87,885.60,406.50,3.62,34.87,0.41,1.11
Cobra C-3520/12  Twin,5.00,820.00,10.00,7.00,18.50,11756.00,80.26,1484.80,484.91,4.66,34.82,0.31,1.32
Cobra C-4120/12  Twin,4.00,850.00,11.00,8.00,14.80,10281.00,109.40,1619.20,444.66,6.11,34.82,0.38,1.48
Cobra C-4120/16  Twin,5.00,610.00,11.00,8.50,18.50,9673.00,74.72,1382.20,520.91,4.88,34.82,0.35,1.47
BadAss 2814-980Kv  Twin,4.00,980.00,11.00,8.00,14.80,10280.00,84.78,1254.80,573.80,4.58,34.82,0.37,1.13
BadAss 2820-1080  Twin,4.00,1080.00,9.00,6.00,14.80,13702.00,81.68,1209.00,595.53,3.95,34.82,0.33,1.19
BadAss 2826-1030  Twin,4.00,1030.00,8.00,6.00,14.80,13712.00,62.22,920.80,781.93,3.50,34.82,0.38,1.25
Tempest 4120-700Kv  Twin,5.00,700.00,10.00,7.00,18.50,11759.00,74.56,1379.60,521.89,4.56,34.82,0.33,1.45
Cobra C-4120/12 ,4.00,850.00,11.00,8.00,14.80,10281.00,54.70,809.60,444.66,3.06,34.82,0.38,1.12
BadAss 4520-660Kv ,5.00,660.00,13.00,8.00,18.50,10279.00,84.38,1561.00,230.62,4.56,34.82,0.29,1.24
Tempest 4130-540Kv ,6.00,540.00,13.00,8.00,22.20,10277.00,71.34,1583.60,227.33,5.39,34.82,0.34,1.21
Cobra C-2826/10  Twin,5.00,930.00,8.00,6.00,18.50,13689.00,64.22,1188.20,605.96,3.38,34.78,0.28,1.23
BadAss 3515-710  Twin,6.00,710.00,10.00,6.00,22.20,13687.00,56.36,1251.40,575.36,4.82,34.78,0.39,1.26
BadAss 3520-790  Twin,4.00,790.00,11.00,8.50,14.80,9668.00,94.98,1405.60,512.24,4.60,34.78,0.33,1.34
BadAss 3530-890 ,4.00,890.00,11.00,7.00,14.80,11739.00,70.53,1043.90,344.86,3.69,34.78,0.35,1.15
Cobra C-2826/12  Twin,6.00,760.00,8.00,6.00,22.20,13670.00,53.44,1186.40,606.88,3.40,34.73,0.29,1.23
Cobra C-3515/14  Twin,5.00,950.00,9.00,6.00,18.50,13676.00,66.70,1233.80,583.56,4.09,34.73,0.33,1.25
BadAss 3530-890 ,4.00,890.00,11.00,7.00,14.80,11717.00,70.15,1038.20,346.75,3.35,34.73,0.32,1.15
BadAss 4530-440Kv ,5.00,440.00,16.00,12.00,18.50,6835.00,82.94,1534.30,234.63,4.24,34.73,0.28,1.37
Cobra C-4120/18  Twin,6.00,540.00,11.00,8.00,22.20,10241.00,68.06,1510.80,476.57,5.14,34.69,0.34,1.47
BadAss 2814-1300  Twin,3.00,1300.00,9.00,7.50,11.10,10921.00,102.16,1134.00,634.92,3.15,34.69,0.28,1.13
Tempest 2820-840Kv  Twin,5.00,840.00,8.00,6.00,18.50,13665.00,50.58,935.80,769.40,3.49,34.69,0.37,1.16
Tempest 4120-600Kv  Twin,4.00,600.00,11.00,10.00,14.80,8196.00,64.54,955.40,753.61,3.17,34.69,0.33,1.45
BadAss 4520-660Kv ,5.00,660.00,13.00,8.00,18.50,10242.00,86.48,1599.80,225.03,5.48,34.69,0.34,1.24
Cobra C-2826/12  Twin,5.00,760.00,9.00,7.50,18.50,10916.00,59.78,1106.00,650.99,3.21,34.64,0.29,1.23
Cobra C-3525/12  Twin,6.00,650.00,10.00,7.00,22.20,11698.00,70.00,1554.20,463.26,5.98,34.64,0.38,1.40
Cobra C-4120/22  Twin,5.00,430.00,12.00,12.00,18.50,6822.00,46.92,868.00,829.49,3.01,34.64,0.35,1.47
BadAss 2820-910Kv  Twin,4.00,910.00,9.00,7.50,14.80,10913.00,71.40,1056.80,681.30,3.12,34.64,0.30,1.19
BadAss 3520-790  Twin,4.00,790.00,10.00,8.00,14.80,10224.00,68.86,1019.20,706.44,3.61,34.64,0.35,1.34
BadAss 4520-540Kv  Twin,5.00,540.00,14.00,10.00,18.50,8188.00,96.06,1777.20,405.13,7.09,34.64,0.40,1.68
Tempest 2820-840Kv  Twin,4.00,840.00,9.00,8.00,14.80,10225.00,62.32,922.40,780.57,3.66,34.64,0.40,1.16
BadAss 4520-540Kv ,5.00,540.00,14.00,10.00,18.50,8188.00,48.03,888.60,405.13,3.55,34.64,0.40,1.23
BadAss 4520-830Kv ,4.00,830.00,12.00,8.00,14.80,10224.00,91.25,1350.50,266.57,4.66,34.64,0.34,1.24
Cobra C-2826/10  Twin,5.00,930.00,9.00,6.00,18.50,13626.00,65.98,1220.60,589.87,4.09,34.60,0.33,1.23
Cobra C-2826/12  Twin,6.00,760.00,9.00,6.00,22.20,13630.00,54.58,1211.80,594.16,4.09,34.60,0.34,1.23
Cobra C-4120/20  Twin,7.00,480.00,11.00,8.00,25.90,10223.00,58.82,1523.20,472.69,5.11,34.60,0.34,1.47
BadAss 2814-1560Kv  Twin,3.00,1560.00,8.00,6.00,11.10,13622.00,88.30,980.20,734.54,3.45,34.60,0.35,1.13
BadAss 2826-690  Twin,5.00,690.00,11.00,8.00,18.50,10212.00,87.40,1616.80,445.32,5.88,34.60,0.36,1.25
BadAss 3530-630Kv ,5.00,630.00,12.00,8.00,18.50,10220.00,70.76,1309.10,275.00,4.66,34.60,0.36,1.16
BadAss 4520-830Kv ,6.00,830.00,10.00,5.00,22.20,16350.00,62.13,1379.20,261.02,4.17,34.60,0.30,1.23
Tempest 4120-830Kv ,4.00,830.00,12.00,8.00,14.80,10213.00,94.75,1402.30,256.72,4.64,34.60,0.33,1.12
Cobra C-4120/20  Twin,7.00,480.00,11.00,8.00,25.90,10202.00,59.60,1543.40,466.50,5.97,34.55,0.39,1.47
BadAss 3520-560  Twin,6.00,560.00,12.00,8.00,22.20,10199.00,94.18,2090.60,344.40,5.98,34.55,0.29,1.35
Tempest 2814-1050Kv  Twin,6.00,1050.00,7.00,4.00,22.20,20394.00,66.52,1476.80,487.54,3.81,34.55,0.26,1.10
Tempest 2820-1170Kv  Twin,3.00,1170.00,9.00,8.00,11.10,10198.00,86.24,957.20,752.19,3.60,34.55,0.38,1.16
Tempest 2826-920Kv  Twin,4.00,920.00,9.00,7.00,14.80,11654.00,76.70,1135.20,634.25,4.31,34.55,0.38,1.22
BadAss 3530-650Kv ,6.00,570.00,12.00,8.00,22.20,10198.00,58.04,1288.40,279.42,4.60,34.55,0.36,1.15
Cobra C-4120/14  Twin,5.00,710.00,9.00,7.00,18.50,11642.00,57.66,1066.60,675.04,4.29,34.51,0.40,1.48
Cobra C-4130/14  Twin,6.00,450.00,13.00,10.00,22.20,8157.00,91.44,2030.20,354.64,5.97,34.51,0.29,1.69
BadAss 2826-820Kv  Twin,5.00,820.00,9.00,6.00,18.50,13587.00,63.66,1177.60,611.41,3.87,34.51,0.33,1.24
BadAss 3520-650Kv  Twin,6.00,650.00,9.00,6.00,22.20,13588.00,52.14,1157.40,622.08,3.84,34.51,0.33,1.35
BadAss 4520-370Kv  Twin,6.00,370.00,14.00,12.00,22.20,6795.00,72.48,1608.80,447.54,4.89,34.51,0.30,1.69
Tempest 2820-840Kv  Twin,5.00,840.00,8.00,6.00,18.50,13585.00,52.08,963.60,747.20,3.16,34.51,0.33,1.16
Tempest 2826-920Kv  Twin,5.00,920.00,10.00,6.00,18.50,13586.00,109.34,2022.60,355.98,5.83,34.51,0.29,1.22
Tempest 4120-700Kv  Twin,5.00,700.00,10.00,7.00,18.50,11649.00,81.98,1516.80,474.68,5.66,34.51,0.37,1.45
BadAss 3515-940 ,5.00,940.00,10.00,5.80,18.50,14062.00,58.46,1081.50,332.87,3.25,34.51,0.30,1.02
BadAss 3520-650Kv ,5.00,650.00,12.00,8.00,18.50,10194.00,56.19,1039.50,346.32,3.06,34.51,0.29,1.06
BadAss 3520-970 ,4.00,970.00,11.00,7.00,14.80,11651.00,71.97,1065.20,337.96,3.60,34.51,0.34,1.06
Cobra C-2826/12  Twin,4.00,760.00,11.00,10.00,14.80,8141.00,70.24,1039.60,692.57,3.33,34.46,0.32,1.23
Cobra C-3525/10  Twin,5.00,780.00,10.00,7.00,18.50,11633.00,76.20,1409.60,510.78,4.59,34.46,0.33,1.40
Cobra C-4120/20  Twin,6.00,480.00,13.00,10.00,22.20,8146.00,92.26,2048.00,351.56,5.93,34.46,0.29,1.47
BadAss 2814-1560Kv  Twin,3.00,1560.00,8.00,6.00,11.10,13569.00,89.14,989.40,727.71,3.05,34.46,0.31,1.13
Cobra C-4120/18  Twin,4.00,540.00,12.00,12.00,14.80,6776.00,59.10,874.80,823.05,3.00,34.42,0.34,1.47
BadAss 2814-980Kv  Twin,4.00,980.00,9.00,7.50,14.80,10846.00,74.24,1098.80,655.26,3.05,34.42,0.28,1.13
BadAss 2820-1080  Twin,4.00,1080.00,10.00,6.00,14.80,13550.00,85.70,1268.40,567.64,4.70,34.42,0.37,1.19
BadAss 2820-780  Twin,5.00,780.00,11.00,8.00,18.50,10159.00,107.68,1992.20,361.41,6.39,34.42,0.32,1.19
Cobra C-4120/14 ,4.00,710.00,14.00,10.00,14.80,8128.00,61.23,906.20,397.26,3.57,34.42,0.39,1.12
BadAss 2820-780 ,5.00,780.00,11.00,8.00,18.50,10159.00,53.84,996.10,361.41,3.20,34.42,0.32,0.98
Cobra C-3525/12  Twin,5.00,650.00,11.00,8.50,18.50,9551.00,72.72,1345.20,535.24,4.62,34.37,0.34,1.40
Cobra C-4130/12  Twin,5.00,540.00,14.00,10.00,18.50,8117.00,90.98,1683.20,427.76,6.83,34.37,0.41,1.69
BadAss 2820-1080  Twin,6.00,1080.00,8.00,4.00,22.20,20300.00,104.16,2312.20,311.39,5.42,34.37,0.23,1.19
Tempest 3515-950Kv  Twin,4.00,950.00,9.00,7.00,14.80,11599.00,74.22,1098.40,655.50,4.14,34.37,0.38,1.23
Tempest 4120-600Kv  Twin,5.00,600.00,11.00,8.00,18.50,10154.00,77.64,1436.20,501.32,4.97,34.37,0.35,1.45
Cobra C-4130/12 ,5.00,540.00,14.00,10.00,18.50,8117.00,45.49,841.60,427.76,3.41,34.37,0.41,1.23
BadAss 4520-830Kv ,6.00,830.00,10.00,5.00,22.20,16250.00,69.45,1541.90,233.48,3.61,34.37,0.23,1.23
BadAss 4530-730Kv ,4.00,730.00,14.00,8.50,14.80,9559.00,106.28,1573.00,228.86,4.81,34.37,0.31,1.37
BadAss 2315-880Kv  Twin,5.00,1310.00,7.00,4.00,18.50,20286.00,74.32,1374.80,523.71,3.68,34.33,0.27,1.07
BadAss 2814-1120  Twin,4.00,1120.00,9.00,6.00,14.80,13513.00,83.68,1238.40,581.40,3.97,34.33,0.32,1.13
BadAss 2820-780  Twin,5.00,780.00,9.00,7.00,18.50,11585.00,66.74,1234.60,583.18,4.66,34.33,0.38,1.19
BadAss 3515-710  Twin,4.00,710.00,12.00,10.00,14.80,8110.00,89.98,1331.80,540.62,4.29,34.33,0.32,1.26
Cobra C-4120/14  Twin,6.00,710.00,10.00,6.00,22.20,13505.00,82.42,1829.60,393.53,5.66,34.28,0.31,1.48
Cobra C-4130/14  Twin,5.00,450.00,14.00,12.00,18.50,6752.00,87.74,1623.00,443.62,4.91,34.28,0.30,1.69
Tempest 3515-1330Kv  Twin,3.00,1330.00,9.00,7.50,11.10,10793.00,99.36,1102.80,652.88,3.13,34.28,0.28,1.23
Tempest 4120-520Kv  Twin,6.00,520.00,12.00,8.00,22.20,10130.00,89.66,1990.40,361.74,5.97,34.28,0.30,1.45
Tempest 4130-400Kv  Twin,6.00,400.00,14.00,10.00,22.20,8095.00,71.34,1583.60,454.66,7.10,34.28,0.45,1.65
BadAss 4530-730Kv ,6.00,730.00,11.00,5.50,22.20,14731.00,96.14,2134.40,168.67,4.79,34.28,0.22,1.37
Tempest 4130-400Kv ,6.00,400.00,14.00,10.00,22.20,8095.00,35.67,791.80,454.66,3.55,34.28,0.45,1.21
BadAss 2826-1030  Twin,4.00,1030.00,8.00,6.00,14.80,13487.00,70.12,1037.80,693.78,3.10,34.24,0.30,1.25
BadAss 3515-710  Twin,4.00,710.00,13.00,10.00,14.80,8085.00,90.16,1334.20,539.65,5.64,34.24,0.42,1.26
BadAss 3515-940  Twin,4.00,940.00,10.00,7.00,14.80,11550.00,90.32,1336.80,538.60,4.48,34.24,0.33,1.26
BadAss 3530-650Kv  Twin,4.00,570.00,15.00,12.00,14.80,6742.00,101.64,1504.40,478.60,7.00,34.24,0.47,1.53
BadAss 4520-540Kv  Twin,5.00,540.00,13.00,10.00,18.50,8084.00,106.08,1962.40,366.90,5.71,34.24,0.29,1.68
Tempest 3515-1330Kv  Twin,5.00,1330.00,7.00,4.00,18.50,20217.00,67.74,1253.20,574.53,3.38,34.24,0.27,1.23
Tempest 4120-600Kv  Twin,5.00,600.00,11.00,8.00,18.50,10117.00,79.60,1472.80,488.86,5.85,34.24,0.40,1.45
Tempest 4120-830Kv  Twin,4.00,830.00,10.00,7.00,14.80,11558.00,91.80,1358.60,529.96,4.45,34.24,0.33,1.45
BadAss 3530-650Kv ,4.00,570.00,15.00,12.00,14.80,6742.00,50.82,752.20,478.60,3.50,34.24,0.47,1.15
BadAss 4520-540Kv ,6.00,540.00,14.00,8.50,22.20,9518.00,68.59,1522.60,236.44,4.78,34.24,0.31,1.23
BadAss 4520-830Kv ,4.00,830.00,13.00,8.00,14.80,10108.00,100.34,1485.10,242.41,4.38,34.24,0.29,1.24
Cobra C-4120/22  Twin,6.00,430.00,12.00,10.00,22.20,8081.00,55.58,1234.00,583.47,4.41,34.20,0.36,1.47
BadAss 3530-700  Twin,5.00,700.00,11.00,7.00,18.50,11545.00,102.32,1893.00,380.35,6.41,34.20,0.34,1.53
BadAss 3520-970 ,4.00,970.00,11.00,7.00,14.80,11538.00,75.71,1120.50,321.29,3.24,34.20,0.29,1.06
BadAss 3530-700 ,5.00,700.00,11.00,7.00,18.50,11545.00,51.16,946.50,380.35,3.20,34.20,0.34,1.15
BadAss 4530-360Kv ,6.00,360.00,16.00,12.00,22.20,6730.00,64.34,1428.40,252.03,4.11,34.20,0.29,1.36
BadAss 2826-1360  Twin,3.00,1360.00,8.00,6.00,11.10,13442.00,80.42,892.80,806.45,3.35,34.15,0.38,1.26
BadAss 2826-690  Twin,4.00,690.00,12.00,10.00,14.80,8071.00,84.66,1253.00,574.62,4.19,34.15,0.33,1.25
Cobra C-5320/18 ,6.00,370.00,16.00,12.00,22.20,6724.00,62.97,1397.90,257.53,3.96,34.15,0.28,1.32
BadAss 4530-440Kv ,5.00,440.00,17.00,12.00,18.50,6726.00,91.53,1693.20,212.62,5.32,34.15,0.31,1.37
Cobra C-2820/10  Twin,4.00,1170.00,8.00,6.00,14.80,13423.00,76.70,1135.20,634.25,3.20,34.11,0.28,1.18
Cobra C-2826/8  Twin,4.00,1130.00,8.00,6.00,14.80,13428.00,76.46,1131.60,636.27,3.24,34.11,0.29,1.23
Cobra C-3520/10  Twin,5.00,980.00,10.00,6.00,18.50,13436.00,105.30,1948.00,369.61,5.49,34.11,0.28,1.31
Cobra C-3520/12  Twin,5.00,820.00,10.00,7.00,18.50,11516.00,84.72,1567.20,459.42,5.80,34.11,0.37,1.32
Cobra C-3525/10  Twin,5.00,780.00,10.00,7.00,18.50,11509.00,80.86,1495.80,481.35,5.77,34.11,0.39,1.40
Cobra C-4120/20  Twin,5.00,480.00,14.00,12.00,18.50,6712.00,89.82,1661.60,433.32,4.86,34.11,0.29,1.47
Cobra C-4130/12  Twin,6.00,540.00,12.00,8.00,22.20,10073.00,86.92,1929.80,373.10,6.02,34.11,0.31,1.69
Cobra CP-2814-1050  Twin,4.00,1050.00,8.00,6.00,14.80,13428.00,79.22,1172.60,614.02,3.16,34.11,0.27,1.13
BadAss 2814-1120  Twin,6.00,1120.00,8.00,4.00,22.20,20142.00,109.78,2437.20,295.42,5.44,34.11,0.22,1.13
BadAss 2814-870  Twin,5.00,870.00,8.00,6.00,18.50,13430.00,55.18,1020.80,705.33,3.01,34.11,0.30,1.12
BadAss 3530-700  Twin,5.00,700.00,11.00,7.00,18.50,11515.00,104.44,1932.00,372.67,7.06,34.11,0.37,1.53
Tempest 2820-970Kv  Twin,4.00,970.00,9.00,7.00,14.80,11517.00,73.92,1094.00,658.14,4.10,34.11,0.37,1.16
Tempest 3515-1330Kv  Twin,5.00,1330.00,7.00,4.00,18.50,20147.00,69.48,1285.40,560.14,3.61,34.11,0.28,1.23
Tempest 3520-550Kv  Twin,5.00,550.00,12.00,10.00,18.50,8058.00,73.30,1356.00,530.97,4.24,34.11,0.31,1.30
Tempest 4120-520Kv  Twin,5.00,520.00,13.00,10.00,18.50,8061.00,106.58,1971.80,365.15,5.54,34.11,0.28,1.45
Tempest 4120-830Kv  Twin,4.00,830.00,10.00,7.00,14.80,11509.00,100.42,1486.20,484.46,5.52,34.11,0.37,1.45
Cobra C-4130/12 ,6.00,540.00,12.00,8.00,22.20,10073.00,43.46,964.90,373.10,3.01,34.11,0.31,1.23
BadAss 3530-700 ,5.00,700.00,11.00,7.00,18.50,11515.00,52.22,966.00,372.67,3.53,34.11,0.37,1.15
Cobra C-2826/12  Twin,5.00,760.00,11.00,8.00,18.50,10054.00,82.10,1518.80,474.06,5.01,34.06,0.33,1.23
Cobra C-2826/8  Twin,4.00,1130.00,9.00,6.00,14.80,13408.00,79.14,1171.40,614.65,3.89,34.06,0.33,1.23
Cobra C-3515/12  Twin,4.00,1100.00,8.00,6.00,14.80,13416.00,60.56,896.20,803.39,3.43,34.06,0.38,1.25
Cobra C-4130/12  Twin,5.00,540.00,13.00,10.00,18.50,8042.00,103.38,1912.40,376.49,5.62,34.06,0.29,1.69
BadAss 2826-1030  Twin,4.00,1030.00,9.00,6.00,14.80,13411.00,74.94,1109.00,649.23,3.81,34.06,0.34,1.25
BadAss 2826-690  Twin,4.00,690.00,13.00,10.00,14.80,8042.00,85.40,1263.80,569.71,5.51,34.06,0.44,1.25
BadAss 3530-650Kv ,6.00,570.00,13.00,8.00,22.20,10064.00,62.70,1391.90,258.64,4.34,34.06,0.31,1.15
Cobra C-3520/14  Twin,4.00,700.00,11.00,10.00,14.80,8037.00,64.48,954.40,754.40,3.21,34.02,0.34,1.32
BadAss 2820-780  Twin,6.00,780.00,10.00,5.80,22.20,13847.00,92.44,2052.40,350.81,6.43,34.02,0.31,1.19
BadAss 3530-650Kv  Twin,4.00,570.00,14.00,12.00,14.80,6700.00,108.10,1599.80,450.06,4.80,34.02,0.30,1.53
BadAss 3530-630Kv  Twin,6.00,630.00,10.00,6.00,22.20,13396.00,76.44,1696.80,424.33,5.29,34.02,0.31,1.54
BadAss 2820-780 ,6.00,780.00,10.00,5.80,22.20,13847.00,46.22,1026.20,350.81,3.22,34.02,0.31,0.98
BadAss 4530-550Kv ,4.00,550.00,16.00,12.00,14.80,6698.00,99.55,1473.30,244.35,4.05,34.02,0.27,1.37
BadAss 4530-730Kv ,4.00,730.00,12.00,8.00,14.80,10050.00,69.06,1022.00,352.25,3.02,34.02,0.30,1.36
Cobra C-2820/10  Twin,4.00,1170.00,9.00,6.00,14.80,13368.00,79.66,1179.00,610.69,3.86,33.97,0.33,1.18
Cobra C-3520/14  Twin,6.00,700.00,8.00,6.00,22.20,13383.00,38.88,863.00,834.30,3.42,33.97,0.40,1.32
Tempest 2814-1050Kv  Twin,4.00,1050.00,8.00,6.00,14.80,13383.00,62.82,929.80,774.36,3.31,33.97,0.36,1.10
Tempest 2814-1700Kv  Twin,4.00,1700.00,7.00,4.00,14.80,20055.00,96.24,1424.40,505.48,3.63,33.97,0.25,1.11
Tempest 4130-400Kv  Twin,6.00,400.00,13.00,10.00,22.20,8021.00,80.22,1780.60,404.36,5.61,33.97,0.31,1.65
Tempest 4130-690Kv  Twin,5.00,690.00,11.00,7.00,18.50,11468.00,100.24,1854.40,388.27,6.30,33.97,0.34,1.66
BadAss 3530-630Kv ,5.00,630.00,13.00,8.00,18.50,10033.00,77.35,1430.90,251.59,5.03,33.97,0.35,1.16
Tempest 4130-690Kv ,5.00,690.00,11.00,7.00,18.50,11468.00,50.12,927.20,388.27,3.15,33.97,0.34,1.21
Cobra C-3515/14  Twin,4.00,950.00,9.00,7.50,14.80,10689.00,69.82,1033.40,696.73,3.01,33.93,0.29,1.25
Cobra C-3525/14  Twin,5.00,560.00,12.00,10.00,18.50,8015.00,68.46,1266.40,568.54,4.34,33.93,0.34,1.40
Cobra C-4120/18  Twin,5.00,540.00,14.00,10.00,18.50,8011.00,89.68,1659.00,434.00,6.95,33.93,0.42,1.47
BadAss 3530-700  Twin,4.00,700.00,11.00,8.50,14.80,9431.00,81.74,1209.80,595.14,4.41,33.93,0.36,1.53
Tempest 2826-1470Kv  Twin,3.00,1470.00,8.00,6.00,11.10,13363.00,80.08,889.00,809.90,3.35,33.93,0.38,1.23
Tempest 4130-690Kv  Twin,5.00,690.00,11.00,7.00,18.50,11454.00,103.24,1909.80,377.00,6.85,33.93,0.36,1.66
Cobra C-4120/18 ,5.00,540.00,14.00,10.00,18.50,8011.00,44.84,829.50,434.00,3.47,33.93,0.42,1.12
Tempest 4130-690Kv ,5.00,690.00,11.00,7.00,18.50,11454.00,51.62,954.90,377.00,3.42,33.93,0.36,1.21
BadAss 2315-1630Kv  Twin,4.00,1630.00,7.00,4.00,14.80,20008.00,88.36,1307.60,550.63,3.62,33.88,0.28,1.08
BadAss 3515-580Kv  Twin,6.00,580.00,12.00,8.00,22.20,10003.00,93.00,2064.40,348.77,5.96,33.88,0.29,1.27
BadAss 3530-700  Twin,4.00,700.00,12.00,8.50,14.80,9412.00,80.48,1191.20,604.43,5.15,33.88,0.43,1.53
BadAss 3530-650Kv ,6.00,570.00,13.00,8.00,22.20,10009.00,65.08,1444.90,249.15,5.10,33.88,0.35,1.15
BadAss 4520-830Kv ,4.00,830.00,13.00,8.00,14.80,10012.00,103.31,1529.00,235.45,5.16,33.88,0.34,1.24
Cobra C-3510/16  Twin,4.00,1200.00,8.00,6.00,14.80,13320.00,77.96,1153.80,624.02,3.12,33.84,0.27,1.17
Cobra C-4120/12  Twin,5.00,850.00,10.00,6.00,18.50,13321.00,95.78,1772.00,406.32,5.48,33.84,0.31,1.48
Tempest 2826-1470Kv  Twin,3.00,1470.00,8.00,6.00,11.10,13315.00,81.18,901.00,799.11,3.04,33.84,0.34,1.23
Tempest 3515-950Kv  Twin,5.00,950.00,10.00,6.00,18.50,13319.00,106.14,1963.40,366.71,5.35,33.84,0.27,1.23
Cobra C-5320/18 ,7.00,370.00,15.00,10.00,25.90,7990.00,60.84,1575.80,228.46,4.69,33.84,0.30,1.32
Cobra C-3520/10  Twin,4.00,980.00,9.00,7.00,14.80,11400.00,72.58,1074.00,670.39,4.09,33.79,0.38,1.31
Cobra C-3525/14  Twin,6.00,560.00,11.00,8.00,22.20,9973.00,61.58,1367.20,526.62,4.82,33.79,0.35,1.40
Cobra C-3525/18  Twin,6.00,430.00,11.00,10.00,22.20,7980.00,40.14,891.20,807.90,3.10,33.79,0.35,1.40
Cobra CP-2814-1050  Twin,4.00,1050.00,9.00,6.00,14.80,13298.00,82.14,1215.80,592.20,3.81,33.79,0.31,1.13
BadAss 2315-1100Kv  Twin,6.00,1110.00,7.00,4.00,22.20,19951.00,53.86,1195.80,602.11,3.32,33.79,0.28,1.04
BadAss 2826-1030  Twin,4.00,1030.00,10.00,6.00,14.80,13313.00,78.46,1161.00,620.16,4.52,33.79,0.39,1.25
Tempest 3520-550Kv  Twin,6.00,550.00,11.00,8.00,22.20,9974.00,65.10,1445.00,498.27,4.78,33.79,0.33,1.30
