Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra C-4120/22 ,5.00,430.00,14.00,9.00,18.50,6454.00,65.04,1203.40,598.30,14.14,55.00,1.18,2.98
Tempest 4130-540Kv ,6.00,540.00,14.00,7.00,22.20,9979.00,84.40,1873.70,192.13,14.14,66.10,0.75,2.54
BadAss 3530-700 ,4.00,700.00,13.00,6.50,14.80,8974.00,102.22,1512.80,475.94,14.13,55.20,0.93,3.10
BadAss 3530-700 ,5.00,700.00,11.00,7.00,18.50,11545.00,102.32,1893.00,380.35,14.12,76.50,0.75,3.10
BadAss 4530-550Kv ,5.00,550.00,15.00,7.00,18.50,8683.00,87.60,1620.60,222.14,14.12,57.60,0.87,2.86
BadAss 4530-550Kv ,5.00,550.00,16.00,7.00,18.50,8667.00,88.75,1641.80,219.27,14.11,57.50,0.86,2.86
BadAss 3530-700 ,6.00,700.00,10.00,5.00,22.20,14418.00,79.12,1756.40,409.93,14.10,68.30,0.80,3.10
BadAss 3520-560 ,4.00,560.00,14.00,9.00,14.80,6530.00,91.28,1350.80,533.02,14.10,55.70,1.04,2.71
Tempest 4130-310Kv ,6.00,310.00,16.00,12.00,22.20,5955.00,85.64,1901.00,378.75,14.10,67.70,0.74,3.34
BadAss 3515-580Kv ,5.00,580.00,13.00,10.00,18.50,8402.00,83.72,1548.80,464.88,14.09,79.60,0.91,2.54
Tempest 4120-600Kv ,4.00,600.00,14.00,7.00,14.80,7828.00,95.80,1417.80,507.83,14.09,51.90,0.99,2.93
Tempest 4130-540Kv ,6.00,540.00,15.00,7.00,22.20,10140.00,79.00,1753.70,205.28,14.08,67.20,0.80,2.54
BadAss 4520-540Kv ,4.00,540.00,15.00,10.00,14.80,6480.00,95.82,1418.00,507.76,14.08,61.40,0.99,3.44
BadAss 4520-370Kv ,6.00,370.00,19.00,10.00,22.20,6236.00,62.89,1396.00,257.88,14.06,59.10,1.01,2.58
BadAss 3530-470 ,5.00,470.00,14.00,10.00,18.50,7487.00,72.14,1334.60,539.49,14.05,70.90,1.05,3.08
Tempest 3520-550Kv ,5.00,550.00,14.00,7.00,18.50,7844.00,78.68,1455.60,494.64,14.04,52.00,0.96,2.60
Cobra C-3525/12 ,6.00,650.00,11.00,7.00,22.20,11267.00,84.90,1884.60,382.04,14.04,74.70,0.74,2.81
Cobra C-3525/14 ,5.00,560.00,13.00,8.00,18.50,7852.00,74.60,1380.20,521.66,14.04,59.50,1.02,2.81
Tempest 4120-600Kv ,4.00,600.00,13.00,8.00,14.80,7867.00,92.92,1375.00,523.64,14.03,59.60,1.02,2.93
BadAss 4520-470Kv ,6.00,470.00,17.00,7.00,22.20,8234.00,65.19,1447.10,248.77,14.01,54.60,0.97,2.57
Cobra C-4130/12 ,5.00,540.00,12.00,8.00,18.50,8380.00,74.04,1369.80,525.62,14.01,63.50,1.02,3.46
Tempest 4120-520Kv ,5.00,520.00,12.00,8.00,18.50,8470.00,78.36,1449.60,496.69,14.01,64.20,0.97,2.94
Cobra C-4130/14 ,5.00,450.00,15.00,8.00,18.50,7163.00,62.22,1151.00,625.54,13.99,54.30,1.22,3.46
Cobra C-3525/14 ,6.00,560.00,12.00,6.00,22.20,9867.00,65.32,1450.20,496.48,13.98,56.10,0.96,2.81
BadAss 2826-690 ,5.00,690.00,12.00,6.00,18.50,10360.00,82.70,1530.00,470.59,13.97,58.90,0.91,2.49
Tempest 2826-920Kv ,5.00,920.00,10.00,5.00,18.50,14081.00,97.54,1804.40,399.02,13.97,66.70,0.77,2.43
Cobra C-4120/18 ,5.00,540.00,12.00,8.00,18.50,8305.00,74.92,1386.20,519.41,13.94,62.90,1.01,2.98
Tempest 4130-540Kv ,5.00,540.00,17.00,7.00,18.50,8264.00,81.24,1503.00,239.52,13.94,54.80,0.93,2.54
